Tipo;Fornecedor;Base Origem;Origem;Base Destino;Destino;VALOR MÍNIMO ATÉ 10;20;30;50;70;100;150;200;300;500;Acima 500;Pedagio (100 Kg);EXCEDENTE;Seguro;PESO MÁXIMO TRANSPORTADO;Gris Min;Gris Exc;Prazo;TDA;UF;TAS;DESPACHO
Agente;MUESTRA;FILIAL;Estrela D Oeste;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Fatima Paulista;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Fernandopolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Floreal;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Florida Paulista;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Gabriel Monteiro;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Gastao Vidigal;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;General Salgado;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Glicerio;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Guaicara;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Guaracai;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Guarani D Oeste;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Guararapes;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Guzolandia;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Ilha Solteira;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Indiapora;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Itapura;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Jales;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Lavinia;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Lucelia;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Luiziania;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Macedonia;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Marinopolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Meridiano;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Mesopolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Mira Estrela;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Mirandopolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Nhandeara;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Nova Canaa Paulista;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Nova Luzitania;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Osvaldo Cruz;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Ouroeste;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Pacaembu;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Palmeira D Oeste;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Paranapua;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Parapua;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Pedranopolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Penapolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Pereira Barreto;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Piacatu;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Pontalinda;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Populina;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Rinopolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Rubiacea;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
